05600.jpg,9775,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,175,171,167],""all_points_y"":[98,99,80,80]}",{}
05601.jpg,9780,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,175,171,167],""all_points_y"":[98,99,80,80]}",{}
05602.jpg,9746,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,175,170,167],""all_points_y"":[99,99,81,81]}",{}
05603.jpg,9757,{},1,0,"{""name"":""polygon"",""all_points_x"":[160,177,171,167],""all_points_y"":[98,98,81,80]}",{}
05604.jpg,9701,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,176,171,167],""all_points_y"":[98,98,81,81]}",{}
05605.jpg,9682,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,177,172,168],""all_points_y"":[99,99,82,82]}",{}
05606.jpg,9698,{},1,0,"{""name"":""polygon"",""all_points_x"":[160,176,172,167],""all_points_y"":[98,99,81,81]}",{}
05607.jpg,9678,{},1,0,"{""name"":""polygon"",""all_points_x"":[159,177,172,167],""all_points_y"":[98,99,82,82]}",{}
05608.jpg,9715,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,177,172,168],""all_points_y"":[99,100,81,81]}",{}
05609.jpg,9732,{},1,0,"{""name"":""polygon"",""all_points_x"":[160,176,171,168],""all_points_y"":[99,100,81,82]}",{}
05610.jpg,9703,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,177,172,167],""all_points_y"":[99,100,82,82]}",{}
05611.jpg,9719,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,177,172,168],""all_points_y"":[100,100,82,82]}",{}
05612.jpg,9634,{},1,0,"{""name"":""polygon"",""all_points_x"":[160,176,172,168],""all_points_y"":[99,100,82,82]}",{}
05613.jpg,9706,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,176,172,169],""all_points_y"":[100,100,82,82]}",{}
05614.jpg,9752,{},1,0,"{""name"":""polygon"",""all_points_x"":[162,177,172,168],""all_points_y"":[99,100,82,82]}",{}
05615.jpg,9757,{},1,0,"{""name"":""polygon"",""all_points_x"":[161,176,172,168],""all_points_y"":[100,100,83,83]}",{}
