filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
03001.jpg,492069,"{}",0,0,"{}","{}"
03002.jpg,497317,"{}",0,0,"{}","{}"
03003.jpg,505339,"{}",0,0,"{}","{}"
03004.jpg,497080,"{}",0,0,"{}","{}"
03005.jpg,504242,"{}",0,0,"{}","{}"
03006.jpg,493512,"{}",0,0,"{}","{}"
03007.jpg,501491,"{}",0,0,"{}","{}"
03008.jpg,491567,"{}",0,0,"{}","{}"
03009.jpg,499698,"{}",0,0,"{}","{}"
03010.jpg,493816,"{}",0,0,"{}","{}"
03011.jpg,488658,"{}",0,0,"{}","{}"
03012.jpg,502180,"{}",0,0,"{}","{}"
03013.jpg,493447,"{}",0,0,"{}","{}"
03014.jpg,500324,"{}",0,0,"{}","{}"
03015.jpg,490158,"{}",0,0,"{}","{}"
03024.jpg,497637,"{}",0,0,"{}","{}"
03025.jpg,488787,"{}",0,0,"{}","{}"
03026.jpg,496204,"{}",0,0,"{}","{}"
03027.jpg,486601,"{}",0,0,"{}","{}"
03028.jpg,495916,"{}",0,0,"{}","{}"
03029.jpg,495879,"{}",0,0,"{}","{}"
03030.jpg,490733,"{}",0,0,"{}","{}"
03031.jpg,485428,"{}",0,0,"{}","{}"
03032.jpg,490636,"{}",0,0,"{}","{}"
03033.jpg,500130,"{}",0,0,"{}","{}"
03034.jpg,488946,"{}",0,0,"{}","{}"
03035.jpg,496740,"{}",0,0,"{}","{}"
03036.jpg,491082,"{}",0,0,"{}","{}"
03037.jpg,495600,"{}",0,0,"{}","{}"
03038.jpg,487890,"{}",0,0,"{}","{}"
03039.jpg,494784,"{}",0,0,"{}","{}"
03040.jpg,495093,"{}",0,0,"{}","{}"
03041.jpg,486544,"{}",0,0,"{}","{}"
03042.jpg,500930,"{}",0,0,"{}","{}"
03043.jpg,490477,"{}",0,0,"{}","{}"
03044.jpg,497607,"{}",0,0,"{}","{}"
03045.jpg,489129,"{}",0,0,"{}","{}"
03046.jpg,496765,"{}",0,0,"{}","{}"
03047.jpg,489242,"{}",0,0,"{}","{}"
03048.jpg,496124,"{}",0,0,"{}","{}"
03049.jpg,488072,"{}",0,0,"{}","{}"
03050.jpg,494992,"{}",0,0,"{}","{}"
03051.jpg,485570,"{}",0,0,"{}","{}"
03052.jpg,493042,"{}",0,0,"{}","{}"
03053.jpg,498466,"{}",0,0,"{}","{}"
03054.jpg,489122,"{}",0,0,"{}","{}"
03055.jpg,498716,"{}",0,0,"{}","{}"
03056.jpg,489425,"{}",0,0,"{}","{}"
03057.jpg,497184,"{}",0,0,"{}","{}"
03058.jpg,487921,"{}",0,0,"{}","{}"
03059.jpg,497232,"{}",0,0,"{}","{}"
03060.jpg,491021,"{}",0,0,"{}","{}"
03061.jpg,487400,"{}",0,0,"{}","{}"
03062.jpg,489497,"{}",0,0,"{}","{}"
03063.jpg,499555,"{}",0,0,"{}","{}"
03064.jpg,488993,"{}",0,0,"{}","{}"
03065.jpg,496444,"{}",0,0,"{}","{}"
03066.jpg,488859,"{}",0,0,"{}","{}"
03067.jpg,496412,"{}",0,0,"{}","{}"
03068.jpg,495708,"{}",0,0,"{}","{}"
03069.jpg,486930,"{}",0,0,"{}","{}"
03070.jpg,496393,"{}",0,0,"{}","{}"
03071.jpg,486226,"{}",0,0,"{}","{}"
03072.jpg,490083,"{}",0,0,"{}","{}"
03073.jpg,497721,"{}",0,0,"{}","{}"
03074.jpg,497774,"{}",0,0,"{}","{}"
03075.jpg,489035,"{}",0,0,"{}","{}"
03076.jpg,496417,"{}",0,0,"{}","{}"
03077.jpg,487482,"{}",0,0,"{}","{}"
03078.jpg,494886,"{}",0,0,"{}","{}"
03079.jpg,487843,"{}",0,0,"{}","{}"
03080.jpg,495487,"{}",0,0,"{}","{}"
03081.jpg,486531,"{}",0,0,"{}","{}"
03082.jpg,490050,"{}",0,0,"{}","{}"
03083.jpg,497933,"{}",0,0,"{}","{}"
03084.jpg,491324,"{}",0,0,"{}","{}"
03085.jpg,497981,"{}",0,0,"{}","{}"
03086.jpg,489060,"{}",0,0,"{}","{}"
03087.jpg,497312,"{}",0,0,"{}","{}"
03088.jpg,488259,"{}",0,0,"{}","{}"
03089.jpg,496155,"{}",0,0,"{}","{}"
03090.jpg,491161,"{}",0,0,"{}","{}"
03091.jpg,485041,"{}",0,0,"{}","{}"
03092.jpg,489740,"{}",0,0,"{}","{}"
03093.jpg,499151,"{}",0,0,"{}","{}"
03094.jpg,489333,"{}",0,0,"{}","{}"
03095.jpg,497810,"{}",0,0,"{}","{}"
03096.jpg,497769,"{}",0,0,"{}","{}"
03097.jpg,488449,"{}",0,0,"{}","{}"
03098.jpg,496570,"{}",0,0,"{}","{}"
03099.jpg,487854,"{}",0,0,"{}","{}"
03100.jpg,496488,"{}",0,0,"{}","{}"
03101.jpg,487865,"{}",0,0,"{}","{}"
03102.jpg,489324,"{}",0,0,"{}","{}"
03103.jpg,499791,"{}",0,0,"{}","{}"
03104.jpg,498458,"{}",0,0,"{}","{}"
03105.jpg,488347,"{}",0,0,"{}","{}"
03106.jpg,496627,"{}",0,0,"{}","{}"
03107.jpg,488812,"{}",0,0,"{}","{}"
03108.jpg,495873,"{}",0,0,"{}","{}"
03109.jpg,487691,"{}",0,0,"{}","{}"
03110.jpg,495293,"{}",0,0,"{}","{}"
03111.jpg,485663,"{}",0,0,"{}","{}"
03112.jpg,490604,"{}",0,0,"{}","{}"
03113.jpg,497137,"{}",0,0,"{}","{}"
03114.jpg,495314,"{}",0,0,"{}","{}"
03115.jpg,487152,"{}",0,0,"{}","{}"
03116.jpg,494731,"{}",0,0,"{}","{}"
03117.jpg,485483,"{}",0,0,"{}","{}"
03118.jpg,494753,"{}",0,0,"{}","{}"
03119.jpg,493676,"{}",0,0,"{}","{}"
03120.jpg,487435,"{}",0,0,"{}","{}"
03121.jpg,484732,"{}",0,0,"{}","{}"
03122.jpg,486790,"{}",0,0,"{}","{}"
03123.jpg,497569,"{}",0,0,"{}","{}"
03124.jpg,486795,"{}",0,0,"{}","{}"
03125.jpg,496124,"{}",0,0,"{}","{}"
03126.jpg,484133,"{}",0,0,"{}","{}"
03127.jpg,495359,"{}",0,0,"{}","{}"
03128.jpg,485965,"{}",0,0,"{}","{}"
03129.jpg,493482,"{}",0,0,"{}","{}"
03130.jpg,485537,"{}",0,0,"{}","{}"
03131.jpg,483558,"{}",0,0,"{}","{}"
03132.jpg,486415,"{}",0,0,"{}","{}"
03133.jpg,495965,"{}",0,0,"{}","{}"
03134.jpg,485353,"{}",0,0,"{}","{}"
